SUMMARY,Exact_Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Source_File
,,Sales,Var (to Prev Wk),Target,Var (to Target),4_jan_2026.xlsx
Fuel - ex KeyFuels (ltrs),,60489,-4205,93323,-32834,4_jan_2026.xlsx
Fuel - Keyfuels only (ltrs),,9553,607,5262,4291,4_jan_2026.xlsx
Shop (œ),,9335,-1210,13965,-4630,4_jan_2026.xlsx
Wash (œ),,1516,-49,1515,1,4_jan_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),7_dec_2025.xlsx
Fuel - ex KeyFuels (ltrs),,95670,-4177,93323,2347,7_dec_2025.xlsx
Fuel - Keyfuels only (ltrs),,23184,-2094,5262,17922,7_dec_2025.xlsx
Shop (œ),,13016,18,13965,-949,7_dec_2025.xlsx
Wash (œ),,1142,-80,1515,-373,7_dec_2025.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),8_feb_2026.xlsx
Fuel - ex KeyFuels (ltrs),,87947,-3216,93323,-5376,8_feb_2026.xlsx
Fuel - Keyfuels only (ltrs),,23402,973,5262,18140,8_feb_2026.xlsx
Shop (œ),,11947,-1491,13965,-2018,8_feb_2026.xlsx
Wash (œ),,1161,-238,1515,-354,8_feb_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),9_nov_2025.xlsx
Fuel - ex KeyFuels (ltrs),,91230,-995,93323,-2093,9_nov_2025.xlsx
Fuel - Keyfuels only (ltrs),,23596,-1253,5262,18334,9_nov_2025.xlsx
Shop (œ),,12894,308,13965,-1071,9_nov_2025.xlsx
Wash (œ),,1200,89,1515,-315,9_nov_2025.xlsx
